AUTOR,TITULO
" Puig, Manuel",Boquitas pintadas
" Ramos-Olivera, Antonio",La Vida de un Rey Memorias del duque de Windsor
Imaginador,Diseños de tortas para fiestas
" Cornwell, Patricia",Predator
" De Santais, Pablo",El enigma de París
" Colin A, Roman",Secretos del cosmos
" De Vega, Lope",FUENTEOVEJUNA
" Del Campo, Estanislao",FAUSTO
" De Rojas, Fernanado",La Celestina
" Dumas, Alejandro",Los Tres Mosqueteros
READER'S DIGEST COLECCIÓN DE LIB. SELECTOS,Libros Selectos
READER'S DIGEST COLECCIÓN DE LIB. SELECTOS,Libros Selectos
" Baum, Vicky",El lago de las damas
" Dayub, Gerardo A.",Gestión Cultural en Entre Ríos
" Beloff, Mary Ana y Otros",Cuadernos de la carcel
Ministerio de Salud y Acción Social,Funciones Esenciales de Salud Pública
" Truffer, Isabel - Storani, Silvia M.",El Campo de Ciencia y Tecnología de la UNER
" Chomsky, Noam - Petra, James - Morley, Morris",Clinton La Política del actual Gobierno de EE. UU.
" Renata, Eugenia",Podemos juntar flores PARTE 1
" Renata, Eugenia",Podemos juntar flores PARTE 2
" Renata, Eugenia",Podemos juntar flores PARTE 3
" Orgambide, Pedro",Ezequiel Martínez Estrada ANTOLIGIA
" Gorini, Ulises",Tópicos utópicos - dialogos con la izquierda europea
" Gilio, María Esther",Conversaciones
" Di Stefano, Maria",Españoles Antología de Cuentos 1980-1993
" Villafañe, Javier",Antología Personal
" Alvarez, Patricia",Ecos del Sur la otra Ecología
" Orgambide, Pedro",Gauchos y Soldados
" Tomossi, Jorge",Crónicas casi reales
" Moreno, Horacio",Lo Fantastico cuentos de realidad e imaginación
" Preidemberg, Daniel",En la noche historias despues de hora
" Dottori, Nora - Lafforgue, Jorge",Las Fronteras
" Mayer, Marcos",El Peronismo Historias de una pasión argentina
" Puiggros, Adriana - Waldman, Fabiana",La educación ¿Hacia que fututro mira?
" Shakespeare, William",Hamlet
" De Miguel, María Esther",un dandy en la corte del Rey Alfonso
" Fernández Díaz, Jorge",Mamá
" Orwell, george",1 9 8 4
" Bioy Casares, Adolfo y Borges, Jorge Luis",Los mejores cuentos Policiales (Selección)
" García Márquez, Gabriel",La mala hora
" García Márquez, Gabriel",Ojos de perro azul
" García Marquez, Gabriel",Relato de un Naufrago
" Simenon, Georges",El asesino del canal
" Puzo, Mario",Los Tontos Mueren
" Miller, Henry",La crucifixión rosada NEXUS
" Wesr, Morris",El Navegante
" Kinsale, Laura",El corazón escondido
" Fernanadez De La Reguera, Ricardo",Experimento
Historias Bíblicas,Mi libro de Historias Bíblicas
" de Wahite, Elena G.",El Camino a Cristo
" Sagan, Carl",La conexión cósmica
" McNaught, Judith",Mentira de Amor
" Maurois, Andre",Napoleón
" Camus, Albert",La peste
" Heller, Jane",Falsa identidad
" Parquer, Alan",El beso del Incauto
" Crusie, jennifer",La falsificadora (grandes novelistas)
" Conan Doyle, Arthur",El regreso de Sherlock Holmes
" Poe, Edgar Alan",Cuentos de humor y sátira
" Quinn, Daniel",A.D. El año que cambió el mundo (grandes novelistas)
" Conan Doyle, Arthur",Relatos de misterio
"Christie, Agatha",El misterio del tren azul
" Christie, Agatha",Intriga en Bagdad
" Christie, Agatha",Los elefantes pueden recordar
" Christie, Agatha",El espejo roto
" Christie, Agatha",Cianuro espumoso
" Poe, Edgar Alan",Cuentos de horror y misterio
" Lapajufker, Marcelo",Hay dos cartas sin abrir
" Feinmann, José Oablo",Peronismo Filosofía polítiva de una persistencia argentina
" Rozitchner, Leon",Las desventuras del sujeto político
" Alvarado, Maite",El Lecturón II La máquina de hacer lectores
" Chapra, Steven C. - Canale, Raymond P.",Métodos numéricos para ingenieros
" Osorio, Fernanado",¿Qué función cumplen los padres de un niño?
" Coelho, Paulo",Palabras esenciales II
" Devetach, Laura",Cuento de los enrredos
" Cortázar, Julio",Cuentos completos 1
" Balagurusamy, E.",Programación orientada a objetos con c++
" Grimaldi, Ralph P.",Matemáticas discreta y combinatoria
QUINO,Mafalda inedita
QUINO,Humano se nace
" Fazzio, Adriana","Niñez, Familia y Derechos Humanos"
" Coelho, Paulo",La Bruja de Portobello
" De Santis, Pablo",Los anticuarios
" Cook, Robin",Cuerpo extraño
" Hood, Robin",El Proscipto
" Allende, Isabel",El plan infinito
" Cooh, Robin",ADN
" Freire, Hector J.",El Cine en su laberinto
" Castellano, Emanuel",El libro mágico de Harry Potter
" Rowling, J. K.",Harry Potter y el cáliz de fuego
" Rowling, J. K.",Harry Potter y el prisionero de Azkaban
" García Márquez, Gabriel",El amor en los tiempos del cólera
" Piglia, Ricardo",Blanco nocturno
" Piglia, Ricardo",Plata quemada
" Bonasso, Miguel",Diario de un clandestino
" Balmaceda, Daniel",Biografía no autorizada de 1910
" Galeano, Eduardo",El libro de los abrazos
" Devetach, Laura",Cuentos del Paí Luchi
" García Márquez, Gabriel",Vivir para contarla
" García Márquez, Gabriel",Cien años de soledad
" Stamateas, Bernardo",AUTOBOICOT Cuando el tóxico es uno mismo
" Brown, Dan",El  Código Da Vinci
" De Santis, Pablo",Páginas mezcladas
" De Santis, Pablo",Desde el ojo del pez
" Rapoport, Mario",Las políticas económicas de la Argentina
" Sabato, Hilda",Pueblo y Política la construcción de la Arg. Moderna
" Arreche, Araceli y Otros",El Teatro y Los Niños
" Rowling, J. K.",Harry Potter y las reliquias de la muerte
" Brown, Dan",Angeles y Demonios
" Stamateas, Alejandra",Mi cuerpo Mi cárcel
" Stamateas, Bernardo",Gente Toxica
" Salinas, Silvia - Bucay, Jorge",Amarse con los ojos abiertos
" Allende, Isabel",Retrato en sepia
QUINO,Mafalda
" García Márquez, Gabriel",Yo no vengo a decir un discurso
" Galeano, Eduardo",Las venas abiertas de América Latina
" Rowling, J.K.",Harry Potter y la piedra filosofal
"Rowling, J.K.",Harry Potter y la cámara secreta
Nik,Gaturro y los piratas del tesoro perdido
Nik,Gaturro y la noche de los vampiros
" Allende, Isabel",Mi país inventado
" Armstrong, Lance",Mi vuelta a la vida
" Saint -Exupery, Antoine",El Principito
Nik,Gaturro y la noche de los vampiros
Nik,Gaturro y los piratas del tesoro perdido
" Lambert, Alibel",
"Schreiber, Jürgen",La mujer que vengó al Che Guevara
" Hosseini, Khaled",Cometas en el cielo
" Rolón, Gabriel",Los padecientes
" Aguinis, Marcos",La matriz del infierno
" Allende, Isabel",El plan infinito
" Allende, Isabel",Cuentos de Eva Luna
" Allende, isabel",Eva Luna
" Allende, Isabel",La casa de los espíritus
" Meyer, Stephenie",Amanecer
" Meyer, Stephenie",Luna nueva
Argentina Códigos,Código Penal
Argentina Códigos,Código Civil y Comercial de la Nación
" Montes, Graciela Silvia",La batalla de los monstruos y las hadas
